date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:17:38	34728/34728	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Feb%202024%2017:47:27%20GMT	https://appilix.com/	D:/website/APPLIX/appilix.com/index.html	(from )
23:17:38	93/93	---M-Z	200	added ('OK')	text/plain	etag:%2258-5febd45085000-gzip%22	https://appilix.com/robots.txt		(from )
23:17:38	440/440	---M--	200	added ('OK')	image/png	etag:%221b8-5fafe7c346900%22	https://appilix.com/styles/images/favicon16x16.png	D:/website/APPLIX/appilix.com/styles/images/favicon16x16.png	(from https://appilix.com/)
23:17:39	816/816	---M--	200	added ('OK')	image/png	etag:%22330-5fafe7b7d4e00%22	https://appilix.com/styles/images/favicon32x32.png	D:/website/APPLIX/appilix.com/styles/images/favicon32x32.png	(from https://appilix.com/)
23:17:39	2073/2073	---M--	200	added ('OK')	image/png	etag:%22819-5fafe7a2d9c80%22	https://appilix.com/styles/images/favicon96x96.png	D:/website/APPLIX/appilix.com/styles/images/favicon96x96.png	(from https://appilix.com/)
23:17:39	3844/3844	---M--	200	added ('OK')	image/png	etag:%22f04-5fafe791af400%22	https://appilix.com/styles/images/favicon192x192.png	D:/website/APPLIX/appilix.com/styles/images/favicon192x192.png	(from https://appilix.com/)
23:17:39	31026/31026	---M--	200	added ('OK')	image/png	etag:%227932-5fe8534d47e80%22	https://appilix.com/styles/images/cover.png	D:/website/APPLIX/appilix.com/styles/images/cover.png	(from https://appilix.com/)
23:17:40	156891/156891	---MCZ	200	added ('OK')	text/css	etag:W/%222fc4e-5e708fadb8b80-gzip%22	https://appilix.com/styles/css/bootstrap.css?v=1.7.4	D:/website/APPLIX/appilix.com/styles/css/bootstrapffd6.css	(from https://appilix.com/)
23:17:40	59500/59500	---MCZ	200	added ('OK')	text/css	etag:W/%22e876-5db51e907f500-gzip%22	https://appilix.com/styles/css/fontawesome.css?v=1.7.4	D:/website/APPLIX/appilix.com/styles/css/fontawesomeffd6.css	(from https://appilix.com/)
23:17:40	5236/5236	---MCZ	200	added ('OK')	text/css	etag:W/%221474-5db4e1fbd8780-gzip%22	https://appilix.com/styles/css/magnific-popup.css?v=1.7.4	D:/website/APPLIX/appilix.com/styles/css/magnific-popupffd6.css	(from https://appilix.com/)
23:17:40	79883/79883	---MCZ	200	added ('OK')	text/css	etag:W/%2219d45-6118918d31bde-gzip%22	https://appilix.com/styles/css/theme.css?v=1.7.4	D:/website/APPLIX/appilix.com/styles/css/themeffd6.css	(from https://appilix.com/)
23:17:41	6314/6314	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2218aa-5fafcb7542180%22	https://appilix.com/styles/images/logo.svg	D:/website/APPLIX/appilix.com/styles/images/logo.svg	(from https://appilix.com/)
